time	V(vc)
2.974317683693164e-04	4.265758e+00
2.974357904598737e-04	4.265764e+00
2.974407521275321e-04	4.265772e+00
2.974460548665126e-04	4.265781e+00
2.974526473161977e-04	4.265792e+00
2.974531107260681e-04	4.265793e+00
2.974540375458089e-04	4.265795e+00
2.974558911852903e-04	4.265798e+00
2.974572533393509e-04	4.265800e+00
2.974586254877857e-04	4.265802e+00
2.974599912522985e-04	4.265805e+00
2.974627227813249e-04	4.265809e+00
2.974681858393777e-04	4.265818e+00
2.974791119554824e-04	4.265837e+00
2.975009641876919e-04	4.265873e+00
2.975446686521118e-04	4.265946e+00
2.976320775809507e-04	4.266092e+00
2.978068954386293e-04	4.266383e+00
2.981565311539858e-04	4.266965e+00
2.982156780506856e-04	4.267064e+00
2.983339718440853e-04	4.267261e+00
2.985705594308855e-04	4.267655e+00
2.986136536639503e-04	4.267727e+00
2.986998421300791e-04	4.267870e+00
2.987344121359171e-04	4.267928e+00
2.987547061771034e-04	4.267962e+00
2.987667584520254e-04	4.267982e+00
2.987735411054374e-04	4.267993e+00
2.987787424677175e-04	4.268002e+00
2.987842448467838e-04	4.268011e+00
2.987902100371489e-04	4.268021e+00
2.988008646734558e-04	4.268039e+00
2.988221739460687e-04	4.268074e+00
2.988647924912955e-04	4.268145e+00
2.989500295817490e-04	4.268287e+00
2.990735089615812e-04	4.268492e+00
2.992665328299406e-04	4.268814e+00
2.996341833808413e-04	4.269425e+00
3.003620586068292e-04	4.270636e+00
3.014203055910314e-04	4.272395e+00
3.031420446454945e-04	4.275256e+00
3.049790811291754e-04	4.278308e+00
3.067065069127443e-04	4.281177e+00
3.085351955653772e-04	4.284214e+00
3.102832009898534e-04	4.287117e+00
3.120942667392845e-04	4.290125e+00
3.138443238768118e-04	4.293031e+00
3.156352281852861e-04	4.296006e+00
3.173771186143937e-04	4.298898e+00
3.191351438521406e-04	4.301818e+00
3.208394958976574e-04	4.304648e+00
3.225213362581078e-04	4.307441e+00
3.241119436942683e-04	4.310082e+00
3.257656532586295e-04	4.312828e+00
3.276413176312785e-04	4.315943e+00
3.294278878106529e-04	4.318909e+00
3.312465908299656e-04	4.321929e+00
3.329959773012837e-04	4.324834e+00
3.348003333771697e-04	4.327830e+00
3.365692129490999e-04	4.330767e+00
3.383725325770627e-04	4.333761e+00
3.401454631325597e-04	4.336705e+00
3.419419903565308e-04	4.339688e+00
3.437183199431408e-04	4.342637e+00
3.455118402469581e-04	4.345615e+00
3.472910757246731e-04	4.348569e+00
3.490817793076052e-04	4.351542e+00
3.508620946665844e-04	4.354498e+00
3.526502542648955e-04	4.357467e+00
3.544299521473951e-04	4.360421e+00
3.562144799560819e-04	4.363384e+00
3.579913913501170e-04	4.366334e+00
3.622410721622706e-04	4.373389e+00
3.649751429922574e-04	4.377928e+00
3.684010337844002e-04	4.383615e+00
3.726466793102256e-04	4.390663e+00
3.783612387661434e-04	4.400148e+00
3.863974177920021e-04	4.413487e+00
3.959974177920023e-04	4.429421e+00
4.055974177920025e-04	4.445354e+00
