Freq.	V(n001)
1.27000000000000e+03	1.20038820077444e-05,-7.53670714034252e-06
1.28000000000000e+03	1.19822879193171e-05,-7.62285901616687e-06
1.29000000000000e+03	1.19624727261785e-05,-7.70693958084162e-06
1.30000000000000e+03	1.19311257132596e-05,-7.79206048297658e-06
1.31000000000000e+03	1.19062319268085e-05,-7.87509613493078e-06
1.32000000000000e+03	1.18767191055086e-05,-7.95856641385205e-06
1.33000000000000e+03	1.18496992980897e-05,-8.03949246935227e-06
1.34000000000000e+03	1.18185649956880e-05,-8.12024256052001e-06
1.35000000000000e+03	1.17899429535681e-05,-8.20443126030752e-06
1.36000000000000e+03	1.17547948470777e-05,-8.28304527142344e-06
1.37000000000000e+03	1.17188940955347e-05,-8.36333386915587e-06
1.38000000000000e+03	1.16840756136418e-05,-8.44003740168070e-06
1.39000000000000e+03	1.16457868465028e-05,-8.51854699950204e-06
1.40000000000000e+03	1.16095968418954e-05,-8.59773832888220e-06
1.41000000000000e+03	1.15648658868809e-05,-8.67288796001048e-06
1.42000000000000e+03	1.15215060897915e-05,-8.74991135452751e-06
1.43000000000000e+03	1.14797218561687e-05,-8.81681860290842e-06
1.44000000000000e+03	1.14319190101483e-05,-8.89409526584822e-06
1.45000000000000e+03	1.13820750063808e-05,-8.96831553249864e-06
1.46000000000000e+03	1.13356349576943e-05,-9.03559189867203e-06
1.47000000000000e+03	1.12833236812032e-05,-9.10536324160500e-06
1.48000000000000e+03	1.12292749682324e-05,-9.17469789710266e-06
1.49000000000000e+03	1.11740880248583e-05,-9.23846136469205e-06
1.50000000000000e+03	1.11158711265586e-05,-9.30240610141524e-06
1.51000000000000e+03	1.10624572489932e-05,-9.36091657135452e-06
1.52000000000000e+03	1.09990121508927e-05,-9.42178896794599e-06
1.53000000000000e+03	1.09386309938341e-05,-9.48604720500810e-06
1.54000000000000e+03	1.08661987825475e-05,-9.52147827104818e-06
1.55000000000000e+03	1.07990607144118e-05,-9.57404872195533e-06
1.56000000000000e+03	1.07209528657897e-05,-9.63528128148094e-06
1.57000000000000e+03	1.06511923559323e-05,-9.66132530976326e-06
1.58000000000000e+03	1.05637340252271e-05,-9.69527277127698e-06
1.59000000000000e+03	1.05207857833831e-05,-9.73991549208744e-06
1.60000000000000e+03	1.04057323969491e-05,-9.75641210844657e-06
1.61000000000000e+03	1.03023316438999e-05,-9.77526350141454e-06
1.62000000000000e+03	1.01487313016905e-05,-9.75114216905824e-06
1.63000000000000e+03	9.97387037145681e-06,-9.71882936404745e-06
1.64000000000000e+03	9.94848410538767e-06,-9.41946198455469e-06
1.65000000000000e+03	9.16195758375954e-06,-9.35891542729309e-06
1.66000000000000e+03	7.14863571459540e-06,-8.17731126976884e-06
1.67000000000000e+03	1.69313497771370e-05,-1.43241904902781e-05
1.68000000000000e+03	1.19687665656650e-05,-1.13079663190461e-05
1.69000000000000e+03	1.11975151348274e-05,-1.09055996947307e-05
1.70000000000000e+03	1.09284626828543e-05,-1.07759649487583e-05
1.71000000000000e+03	1.07269074182651e-05,-1.07175865512384e-05
1.72000000000000e+03	1.05783229354350e-05,-1.06500755049203e-05
1.73000000000000e+03	1.04900225165755e-05,-1.06931059227419e-05
1.74000000000000e+03	1.04136804793252e-05,-1.07049161705777e-05
1.75000000000000e+03	1.03017283611719e-05,-1.06993470184053e-05
