time	V(vc)
0.000000000000000e+00	4.490794e+00
3.777046402600667e-04	4.430655e+00
4.593799774372283e-04	4.417651e+00
5.410553146143898e-04	4.404648e+00
6.227306517915512e-04	4.391644e+00
7.044059889687129e-04	4.378641e+00
7.860813261458743e-04	4.365638e+00
8.677566633230358e-04	4.352635e+00
9.494320005001972e-04	4.339632e+00
9.865748576430658e-04	4.333719e+00
1.023717714785934e-03	4.327807e+00
1.060860571928803e-03	4.321894e+00
1.098003429071671e-03	4.315982e+00
1.135146286214540e-03	4.310070e+00
1.172289143357408e-03	4.304158e+00
1.209432000500277e-03	4.298247e+00
1.226574857643139e-03	4.295519e+00
1.243717714786002e-03	4.292791e+00
1.260860571928864e-03	4.290063e+00
1.278003429071726e-03	4.287335e+00
1.295146286214589e-03	4.284607e+00
1.312289143357451e-03	4.281879e+00
1.329432000500314e-03	4.279151e+00
1.349432000500320e-03	4.275970e+00
1.369432000500326e-03	4.272788e+00
1.372389486670725e-03	4.272317e+00
1.375346972841125e-03	4.271847e+00
1.378304459011524e-03	4.271376e+00
1.381261945181924e-03	4.270906e+00
1.384219431352323e-03	4.270435e+00
1.387176917522722e-03	4.269965e+00
1.390134403693122e-03	4.269494e+00
1.396769927408371e-03	4.268439e+00
1.406769927408374e-03	4.266848e+00
1.416769927408378e-03	4.265257e+00
1.416926177408379e-03	4.265232e+00
1.417238677408381e-03	4.265182e+00
1.417863677408378e-03	4.265083e+00
1.418325101986598e-03	4.265010e+00
1.418705140165469e-03	4.264949e+00
1.418915671400574e-03	4.264916e+00
1.419013237146015e-03	4.264900e+00
1.419093919341571e-03	4.264887e+00
1.419185686471383e-03	4.264873e+00
1.419273542083245e-03	4.264859e+00
1.419449253306976e-03	4.264831e+00
1.419800675754430e-03	4.264775e+00
1.419904264595399e-03	4.264760e+00
1.420007853436367e-03	4.264744e+00
1.420111442277336e-03	4.264728e+00
1.420215031118304e-03	4.264712e+00
1.420318619959272e-03	4.264695e+00
1.420422208800241e-03	4.264677e+00
1.420525797641209e-03	4.264659e+00
1.420527997556986e-03	4.264659e+00
1.420529117956759e-03	4.264659e+00
1.420530165999211e-03	4.264659e+00
1.420530618432156e-03	4.264659e+00
1.420531069423497e-03	4.264659e+00
1.420531565716393e-03	4.264659e+00
1.420532128006163e-03	4.264658e+00
1.420533015221125e-03	4.264658e+00
1.420533969327356e-03	4.264658e+00
1.420535487610529e-03	4.264658e+00
1.420537129812813e-03	4.264658e+00
1.420540327580988e-03	4.264657e+00
1.420543686711073e-03	4.264657e+00
1.420550404971251e-03	4.264656e+00
1.420561078486239e-03	4.264654e+00
1.420574566979881e-03	4.264652e+00
1.420587069543643e-03	4.264650e+00
1.420599136359439e-03	4.264648e+00
1.420629837907798e-03	4.264643e+00
1.420650277192133e-03	4.264640e+00
1.420675497444304e-03	4.264636e+00
1.420707982362844e-03	4.264631e+00
1.420752590782684e-03	4.264624e+00
1.420805740827841e-03	4.264615e+00
1.420934506262794e-03	4.264595e+00
1.421192330393915e-03	4.264554e+00
1.421433610412276e-03	4.264515e+00
1.421916170449004e-03	4.264438e+00
1.422747434898161e-03	4.264306e+00
1.422761336729382e-03	4.264303e+00
1.422789140391824e-03	4.264299e+00
1.422844747716701e-03	4.264290e+00
1.422892063973135e-03	4.264282e+00
1.422939380229570e-03	4.264275e+00
1.422986696486005e-03	4.264267e+00
1.423034012742440e-03	4.264260e+00
1.423081328998874e-03	4.264252e+00
1.423128645255309e-03	4.264245e+00
1.423175961511744e-03	4.264237e+00
1.423177541079380e-03	4.264237e+00
1.423178741481915e-03	4.264237e+00
1.423179669038141e-03	4.264237e+00
1.423180206974128e-03	4.264237e+00
1.423180858085571e-03	4.264237e+00
1.423181520552833e-03	4.264237e+00
1.423182359315579e-03	4.264236e+00
1.423182852842417e-03	4.264236e+00
1.423183096099047e-03	4.264236e+00
1.423183225788674e-03	4.264235e+00
1.423183301671183e-03	4.264235e+00
1.423183375389575e-03	4.264235e+00
1.423183470778938e-03	4.264235e+00
1.423183606157917e-03	4.264235e+00
1.423183747927104e-03	4.264235e+00
1.423183970104290e-03	4.264235e+00
1.423184414458656e-03	4.264235e+00
1.423185196440864e-03	4.264234e+00
1.423186319818685e-03	4.264233e+00
1.423188310717798e-03	4.264232e+00
1.423191516988560e-03	4.264229e+00
1.423194001728099e-03	4.264227e+00
1.423195882340002e-03	4.264226e+00
1.423198159641592e-03	4.264225e+00
1.423199325001505e-03	4.264224e+00
1.423201260285299e-03	4.264224e+00
1.423203381046706e-03	4.264223e+00
1.423205918067320e-03	4.264222e+00
1.423208487409303e-03	4.264222e+00
1.423211755585692e-03	4.264221e+00
1.423215068742684e-03	4.264221e+00
1.423219021847839e-03	4.264221e+00
1.423222931724644e-03	4.264221e+00
1.423227386373058e-03	4.264221e+00
1.423231764569252e-03	4.264221e+00
1.423236525183919e-03	4.264221e+00
1.423241481721710e-03	4.264221e+00
1.423247311016278e-03	4.264221e+00
1.423254832969546e-03	4.264222e+00
1.423264031280083e-03	4.264222e+00
1.423278592995132e-03	4.264223e+00
1.423297541386107e-03	4.264223e+00
1.423314918965711e-03	4.264223e+00
1.423330290368327e-03	4.264224e+00
1.423344112159532e-03	4.264224e+00
1.423357921266355e-03	4.264224e+00
1.423373921371290e-03	4.264224e+00
1.423390786029273e-03	4.264225e+00
1.423409026041420e-03	4.264225e+00
1.423429687115091e-03	4.264225e+00
1.423458284784573e-03	4.264225e+00
1.423501656520429e-03	4.264226e+00
1.423546011268186e-03	4.264227e+00
1.423594642227133e-03	4.264227e+00
1.423643930892220e-03	4.264228e+00
1.423716235869329e-03	4.264229e+00
1.423789582580479e-03	4.264230e+00
1.423936276002770e-03	4.264231e+00
1.423961492613368e-03	4.264231e+00
1.424011925834565e-03	4.264229e+00
1.424061278228764e-03	4.264227e+00
1.424071947217401e-03	4.264226e+00
1.424093285194675e-03	4.264224e+00
1.424099953312573e-03	4.264224e+00
1.424102620559732e-03	4.264224e+00
1.424103287371518e-03	4.264223e+00
1.424103454074468e-03	4.264223e+00
1.424103787480362e-03	4.264223e+00
1.424104454292148e-03	4.264223e+00
1.424105062466069e-03	4.264223e+00
1.424106278813911e-03	4.264223e+00
1.424108711509602e-03	4.264223e+00
1.424113576900976e-03	4.264222e+00
1.424123307683725e-03	4.264221e+00
1.424142769249223e-03	4.264219e+00
1.424181692380226e-03	4.264215e+00
1.424259538642232e-03	4.264209e+00
1.424363372689592e-03	4.264208e+00
1.424455406629277e-03	4.264213e+00
1.424551260693990e-03	4.264220e+00
1.424688394140665e-03	4.264234e+00
1.424949023510959e-03	4.264264e+00
1.425364875972848e-03	4.264322e+00
1.425798310081029e-03	4.264392e+00
1.426352496317111e-03	4.264491e+00
1.426973696518952e-03	4.264605e+00
1.427168635217010e-03	4.264641e+00
1.427358084649132e-03	4.264678e+00
1.427460337110761e-03	4.264698e+00
1.427554819785792e-03	4.264716e+00
1.427743785135854e-03	4.264754e+00
1.428102823207392e-03	4.264827e+00
1.428635758626250e-03	4.264936e+00
1.428696258982592e-03	4.264948e+00
1.428744140600249e-03	4.264958e+00
1.428776007587410e-03	4.264964e+00
