time	V(a)	V(b)	V(vc)	V(vr)	V(vs)
8.156524481465274e-09	1.343512e+01	3.116928e+00	5.740428e-04	3.564594e+00	3.240341e+00
9.214390578787808e-09	1.295013e+01	3.269564e+00	5.769406e-04	3.959037e+00	3.549669e+00
1.037337813622838e-08	1.240486e+01	3.430828e+00	5.798014e-04	4.375624e+00	3.863164e+00
1.165695500458856e-08	1.179588e+01	3.592537e+00	5.827162e-04	4.818760e+00	4.180596e+00
1.297265682356690e-08	1.117714e+01	3.732849e+00	5.855137e-04	5.252954e+00	4.473277e+00
1.461193602443695e-08	1.042918e+01	3.871012e+00	5.888192e-04	5.766418e+00	4.793042e+00
1.663216715156207e-08	9.564169e+00	3.996170e+00	5.927254e-04	6.361460e+00	5.125533e+00
1.905364442196275e-08	8.669788e+00	4.092443e+00	5.972456e-04	7.015191e+00	5.427013e+00
2.361736299005319e-08	7.432469e+00	4.187545e+00	6.055514e-04	8.102260e+00	5.758761e+00
3.008015508864663e-08	6.451047e+00	4.242238e+00	6.171881e-04	9.393541e+00	5.824114e+00
3.859714508001336e-08	5.976922e+00	4.261216e+00	6.325620e-04	1.073925e+01	5.330348e+00
4.804489731506990e-08	5.869347e+00	4.264723e+00	6.497610e-04	1.190021e+01	4.242529e+00
5.324244236591556e-08	5.865024e+00	4.264923e+00	6.592894e-04	1.240522e+01	3.426689e+00
5.682963732485324e-08	5.865123e+00	4.264932e+00	6.658906e-04	1.269550e+01	2.768966e+00
5.889852113108804e-08	5.865148e+00	4.264934e+00	6.697043e-04	1.284647e+01	2.362939e+00
5.992078095747717e-08	5.865152e+00	4.264935e+00	6.716013e-04	1.291656e+01	2.155020e+00
6.045607578564821e-08	5.865153e+00	4.264935e+00	6.726227e-04	1.295207e+01	2.044204e+00
6.072006566270481e-08	5.865155e+00	4.264935e+00	6.731558e-04	1.296928e+01	1.989062e+00
6.096629427633509e-08	5.865156e+00	4.264935e+00	6.736787e-04	1.298516e+01	1.937368e+00
6.112470180045690e-08	5.865156e+00	4.264935e+00	6.740184e-04	1.299531e+01	1.903993e+00
6.130912278874925e-08	5.865157e+00	4.264935e+00	6.744054e-04	1.300706e+01	1.865031e+00
6.138482619140550e-08	5.865157e+00	4.264935e+00	6.745588e-04	1.301186e+01	1.849005e+00
6.146394888674982e-08	5.865158e+00	4.264935e+00	6.747145e-04	1.301686e+01	1.832226e+00
6.155201143152629e-08	5.865158e+00	4.264936e+00	6.748851e-04	1.302242e+01	1.813525e+00
6.165004951854463e-08	5.865158e+00	4.264936e+00	6.750731e-04	1.302858e+01	1.792676e+00
6.173853870510601e-08	5.865158e+00	4.264936e+00	6.752416e-04	1.303412e+01	1.773830e+00
6.183834808594312e-08	5.865159e+00	4.264936e+00	6.754307e-04	1.304035e+01	1.752537e+00
6.197218339799349e-08	5.865159e+00	4.264936e+00	6.756834e-04	1.304867e+01	1.723929e+00
6.214226659594447e-08	5.865160e+00	4.264936e+00	6.760036e-04	1.305919e+01	1.687473e+00
6.244347977150335e-08	5.865160e+00	4.264936e+00	6.765697e-04	1.307766e+01	1.622680e+00
6.275076483576628e-08	5.865161e+00	4.264936e+00	6.771467e-04	1.309630e+01	1.556249e+00
6.327903327232627e-08	5.865162e+00	4.264936e+00	6.781383e-04	1.312790e+01	1.441318e+00
6.383004811209480e-08	5.865163e+00	4.264936e+00	6.791734e-04	1.316024e+01	1.320426e+00
6.474059812455428e-08	5.865164e+00	4.264936e+00	6.808867e-04	1.321237e+01	1.118546e+00
6.570436929797773e-08	5.865166e+00	4.264937e+00	6.827053e-04	1.326577e+01	9.020053e-01
6.719807523468482e-08	5.865167e+00	4.264937e+00	6.855337e-04	1.334572e+01	5.619004e-01
6.796924687288546e-08	5.865168e+00	4.264937e+00	6.869990e-04	1.338574e+01	3.863240e-01
6.839874200685892e-08	5.865168e+00	4.264937e+00	6.878173e-04	1.340748e+01	2.956154e-01
6.863430779504999e-08	5.865168e+00	4.264937e+00	6.882670e-04	1.341924e+01	2.578734e-01
6.886188300459068e-08	5.865168e+00	4.264937e+00	6.887019e-04	1.343049e+01	2.352510e-01
6.910375974960812e-08	5.865168e+00	4.264937e+00	6.891646e-04	1.344235e+01	2.206928e-01
6.937568669365873e-08	5.865168e+00	4.264937e+00	6.896855e-04	1.345556e+01	2.106001e-01
6.979957670809989e-08	5.865169e+00	4.264937e+00	6.904989e-04	1.347585e+01	2.012244e-01
7.055138683646013e-08	5.865169e+00	4.264937e+00	6.919453e-04	1.351114e+01	1.919517e-01
7.148165094177805e-08	5.865169e+00	4.264937e+00	6.937418e-04	1.355363e+01	1.860953e-01
7.267634199340959e-08	5.865169e+00	4.264937e+00	6.960600e-04	1.360632e+01	1.825211e-01
7.395194401549082e-08	5.865170e+00	4.264937e+00	6.985507e-04	1.366016e+01	1.804956e-01
7.585637058969294e-08	5.865170e+00	4.264937e+00	7.023013e-04	1.373596e+01	1.785154e-01
7.856686216949583e-08	5.865170e+00	4.264937e+00	7.077091e-04	1.383500e+01	1.762213e-01
8.313659188410555e-08	5.865170e+00	4.264937e+00	7.169844e-04	1.398425e+01	1.728338e-01
8.761662743357007e-08	5.865170e+00	4.264937e+00	7.262997e-04	1.410971e+01	1.699240e-01
9.485603711097818e-08	5.865170e+00	4.264937e+00	7.417322e-04	1.428043e+01	1.658043e-01
9.898854401732556e-08	5.865170e+00	4.264937e+00	7.506912e-04	1.436317e+01	1.636993e-01
1.024076945032929e-07	5.865170e+00	4.264937e+00	7.580859e-04	1.442184e+01	1.621155e-01
1.052368090097844e-07	5.865170e+00	4.264937e+00	7.640286e-04	1.446560e+01	1.608810e-01
1.069751029335150e-07	5.865170e+00	4.264937e+00	7.675310e-04	1.449053e+01	1.601532e-01
