time	V(vi)
0.000000000000000e+00	0.000000e+00
8.789062359848554e-12	0.000000e+00
8.857830203873924e-12	0.000000e+00
8.995365891924665e-12	0.000000e+00
1.021353912894551e-11	0.000000e+00
1.143171236596635e-11	0.000000e+00
1.264988560298719e-11	0.000000e+00
1.386805884000803e-11	0.000000e+00
1.508623207702887e-11	0.000000e+00
1.630440531404972e-11	0.000000e+00
1.752257855107055e-11	0.000000e+00
2.632486258631792e-11	0.000000e+00
4.392943065681266e-11	0.000000e+00
7.695321450276221e-11	0.000000e+00
1.244438340105357e-10	0.000000e+00
1.709179729250679e-10	0.000000e+00
2.638662507541323e-10	0.000000e+00
7.035812206871682e-09	0.000000e+00
1.380775816298923e-08	0.000000e+00
2.057970411910678e-08	0.000000e+00
2.735165007522433e-08	0.000000e+00
3.412359603134188e-08	0.000000e+00
4.089554198745942e-08	0.000000e+00
4.766748794357696e-08	0.000000e+00
7.623325018222114e-08	0.000000e+00
1.066612206346095e-07	0.000000e+00
1.404738069735828e-07	0.000000e+00
1.837819584520557e-07	0.000000e+00
2.465751959415473e-07	0.000000e+00
3.468717426925640e-07	0.000000e+00
9.999999999999999e-06	0.000000e+00
1.000000100000000e-05	1.000000e+00
1.000599285142493e-05	1.000000e+00
1.001198470284986e-05	1.000000e+00
1.001797655427479e-05	1.000000e+00
1.002396840569972e-05	1.000000e+00
1.002996025712465e-05	1.000000e+00
1.003595210854958e-05	1.000000e+00
1.004194395997451e-05	1.000000e+00
1.008388699994902e-05	1.000000e+00
1.016777307989805e-05	1.000000e+00
2.038018809693895e-05	1.000000e+00
3.059260311397985e-05	1.000000e+00
4.080501813102075e-05	1.000000e+00
5.101743314806164e-05	1.000000e+00
6.122984816510254e-05	1.000000e+00
7.144226318214343e-05	1.000000e+00
8.165467819918431e-05	1.000000e+00
8.570401002787227e-05	1.000000e+00
8.975334185656022e-05	1.000000e+00
9.380267368524818e-05	1.000000e+00
9.785200551393613e-05	1.000000e+00
1.019013373426241e-04	1.000000e+00
1.059506691713120e-04	1.000000e+00
1.100000010000000e-04	1.000000e+00
1.100000020000000e-04	0.000000e+00
1.100119857142378e-04	0.000000e+00
1.100239694284756e-04	0.000000e+00
1.100359531427135e-04	0.000000e+00
1.100479368569513e-04	0.000000e+00
1.100599205711891e-04	0.000000e+00
1.100719042854270e-04	0.000000e+00
1.100838879996648e-04	0.000000e+00
1.103355462386592e-04	0.000000e+00
8.016156156946459e-04	0.000000e+00
8.991742094446472e-04	0.000000e+00
9.000000000000000e-04	0.000000e+00
