v1	V(n003)
1.500000000000000e+001	-1.311215e+001
1.497000000000000e+001	-1.311215e+001
1.494000000000000e+001	-1.311215e+001
1.491000000000000e+001	-1.311215e+001
1.488000000000000e+001	-1.311215e+001
1.485000000000000e+001	-1.311215e+001
1.482000000000000e+001	-1.311215e+001
1.479000000000000e+001	-1.311215e+001
1.476000000000001e+001	-1.311215e+001
1.473000000000001e+001	-1.311215e+001
1.470000000000001e+001	-1.311215e+001
1.467000000000001e+001	-1.311215e+001
1.464000000000001e+001	-1.311215e+001
1.461000000000001e+001	-1.311215e+001
1.458000000000001e+001	-1.311215e+001
1.455000000000001e+001	-1.311215e+001
1.452000000000001e+001	-1.311215e+001
1.449000000000001e+001	-1.311215e+001
1.446000000000001e+001	-1.311215e+001
1.443000000000001e+001	-1.311215e+001
1.440000000000001e+001	-1.311215e+001
1.437000000000001e+001	-1.311215e+001
1.434000000000001e+001	-1.311215e+001
1.431000000000002e+001	-1.311215e+001
1.428000000000002e+001	-1.311215e+001
1.425000000000002e+001	-1.311215e+001
1.422000000000002e+001	-1.311215e+001
1.419000000000002e+001	-1.311215e+001
1.416000000000002e+001	-1.311215e+001
1.413000000000002e+001	-1.311215e+001
1.410000000000002e+001	-1.311215e+001
1.407000000000002e+001	-1.311215e+001
1.404000000000002e+001	-1.311215e+001
1.401000000000002e+001	-1.311215e+001
1.398000000000002e+001	-1.311215e+001
1.395000000000002e+001	-1.311215e+001
1.392000000000002e+001	-1.311215e+001
1.389000000000002e+001	-1.311215e+001
1.386000000000002e+001	-1.311215e+001
1.383000000000003e+001	-1.311215e+001
1.380000000000003e+001	-1.311215e+001
1.377000000000003e+001	-1.311215e+001
1.374000000000003e+001	-1.311215e+001
1.371000000000003e+001	-1.311215e+001
1.368000000000003e+001	-1.311215e+001
1.365000000000003e+001	-1.311215e+001
1.362000000000003e+001	-1.311215e+001
1.359000000000003e+001	-1.311215e+001
1.356000000000003e+001	-1.311215e+001
1.353000000000003e+001	-1.311215e+001
1.350000000000003e+001	-1.311215e+001
1.347000000000003e+001	-1.311215e+001
1.344000000000003e+001	-1.311215e+001
1.341000000000003e+001	-1.311215e+001
1.338000000000004e+001	-1.311215e+001
1.335000000000004e+001	-1.311215e+001
1.332000000000004e+001	-1.311215e+001
1.329000000000004e+001	-1.311215e+001
1.326000000000004e+001	-1.311215e+001
1.323000000000004e+001	-1.311215e+001
1.320000000000004e+001	-1.311215e+001
1.317000000000004e+001	-1.311215e+001
1.314000000000004e+001	-1.311215e+001
1.311000000000004e+001	-1.311215e+001
1.308000000000004e+001	-1.311215e+001
1.305000000000004e+001	-1.311215e+001
1.302000000000004e+001	-1.311215e+001
1.299000000000004e+001	-1.311215e+001
1.296000000000004e+001	-1.311215e+001
1.293000000000004e+001	-1.311215e+001
1.290000000000005e+001	-1.311215e+001
1.287000000000005e+001	-1.311215e+001
1.284000000000005e+001	-1.311215e+001
1.281000000000005e+001	-1.311215e+001
1.278000000000005e+001	-1.311215e+001
1.275000000000005e+001	-1.311215e+001
1.272000000000005e+001	-1.311215e+001
1.269000000000005e+001	-1.311215e+001
1.266000000000005e+001	-1.311215e+001
1.263000000000005e+001	-1.311215e+001
1.260000000000005e+001	-1.311215e+001
1.257000000000005e+001	-1.311215e+001
1.254000000000005e+001	-1.311215e+001
1.251000000000005e+001	-1.311215e+001
1.248000000000005e+001	-1.311215e+001
1.245000000000005e+001	-1.311215e+001
1.242000000000006e+001	-1.311215e+001
1.239000000000006e+001	-1.311215e+001
1.236000000000006e+001	-1.311215e+001
1.233000000000006e+001	-1.311215e+001
1.230000000000006e+001	-1.311215e+001
1.227000000000006e+001	-1.311215e+001
1.224000000000006e+001	-1.311215e+001
1.221000000000006e+001	-1.311215e+001
1.218000000000006e+001	-1.311215e+001
1.215000000000006e+001	-1.311215e+001
1.212000000000006e+001	-1.311215e+001
1.209000000000006e+001	-1.311215e+001
1.206000000000006e+001	-1.311215e+001
1.203000000000006e+001	-1.311215e+001
1.200000000000006e+001	-1.311215e+001
1.197000000000007e+001	-1.311215e+001
1.194000000000007e+001	-1.311215e+001
1.191000000000007e+001	-1.311215e+001
1.188000000000007e+001	-1.311215e+001
1.185000000000007e+001	-1.311215e+001
1.182000000000007e+001	-1.311215e+001
1.179000000000007e+001	-1.311215e+001
1.176000000000007e+001	-1.311215e+001
1.173000000000007e+001	-1.311215e+001
1.170000000000007e+001	-1.311215e+001
1.167000000000007e+001	-1.311215e+001
1.164000000000007e+001	-1.311215e+001
1.161000000000007e+001	-1.311215e+001
1.158000000000007e+001	-1.311215e+001
1.155000000000007e+001	-1.311215e+001
1.152000000000007e+001	-1.311215e+001
1.149000000000008e+001	-1.311215e+001
1.146000000000008e+001	-1.311215e+001
1.143000000000008e+001	-1.311215e+001
1.140000000000008e+001	-1.311215e+001
1.137000000000008e+001	-1.311215e+001
1.134000000000008e+001	-1.311215e+001
1.131000000000008e+001	-1.311215e+001
1.128000000000008e+001	-1.311215e+001
1.125000000000008e+001	-1.311215e+001
1.122000000000008e+001	-1.311215e+001
1.119000000000008e+001	-1.311215e+001
1.116000000000008e+001	-1.311215e+001
1.113000000000008e+001	-1.311215e+001
1.110000000000008e+001	-1.311215e+001
1.107000000000008e+001	-1.311215e+001
1.104000000000008e+001	-1.311215e+001
1.101000000000009e+001	-1.311215e+001
1.098000000000009e+001	-1.311215e+001
1.095000000000009e+001	-1.311215e+001
1.092000000000009e+001	-1.311215e+001
1.089000000000009e+001	-1.311215e+001
1.086000000000009e+001	-1.311215e+001
1.083000000000009e+001	-1.311215e+001
1.080000000000009e+001	-1.311215e+001
1.077000000000009e+001	-1.311215e+001
1.074000000000009e+001	-1.311215e+001
1.071000000000009e+001	-1.311215e+001
1.068000000000009e+001	-1.311215e+001
1.065000000000009e+001	-1.311215e+001
1.062000000000009e+001	-1.311215e+001
1.059000000000009e+001	-1.311215e+001
1.056000000000010e+001	-1.311215e+001
1.053000000000010e+001	-1.311215e+001
1.050000000000010e+001	-1.311215e+001
1.047000000000010e+001	-1.311215e+001
1.044000000000010e+001	-1.311215e+001
1.041000000000010e+001	-1.311215e+001
1.038000000000010e+001	-1.311215e+001
1.035000000000010e+001	-1.311215e+001
1.032000000000010e+001	-1.311215e+001
1.029000000000010e+001	-1.311215e+001
